"server","code","serviceCode","price","serviceList","serviceName"
"server1","fitcredit1","ess","8.0","ServiceList(serviceId=626, serviceCode=ess, serviceName=Fit.Credit)","FitCredit"
"server4","amazon4","am","10.0","ServiceList(serviceId=17, serviceCode=am, serviceName=Amazon)","Amazon"
"server1","dream111","ve","12.0","ServiceList(serviceId=531, serviceCode=ve, serviceName=Dream11)","Dream11"
"server1","nexmovonage1","xno","7.0","ServiceList(serviceId=701, serviceCode=xno, serviceName=Nexmo/vonage)","Nexmovonage"
"server1","1bet1","wj","7.0","ServiceList(serviceId=553, serviceCode=wj, serviceName=1хbet)","1bet"
"server1","alibaba1","ab","7.0","ServiceList(serviceId=5, serviceCode=ab, serviceName=Alibaba)","Alibaba"
"server1","angelonelimited1","aha","7.0","ServiceList(serviceId=690, serviceCode=aha, serviceName=Angel One Limited)","AngelOneLimited"
"server1","egpaymentrechargecashback1","gke","7.0","ServiceList(serviceId=703, serviceCode=gke, serviceName=EGPayment-RechargeCashback)","EGPaymentRechargeCashback"
"server1","gcloot1","clo","7.0","ServiceList(serviceId=731, serviceCode=clo, serviceName=GCLoot)","GCLoot"
"server1","goldsbet1","sgo","7.0","ServiceList(serviceId=709, serviceCode=sgo, serviceName=Goldsbet)","Goldsbet"
"server1","kalashapp1","kla","7.0","ServiceList(serviceId=776, serviceCode=kla, serviceName=Kalash APP)","KalashAPP"
"server1","lilibet1","lii","7.0","ServiceList(serviceId=745, serviceCode=lii, serviceName=LiliBet)","LiliBet"
"server1","nexablock1","xcx","7.0","ServiceList(serviceId=700, serviceCode=xcx, serviceName=NexaBlock)","NexaBlock"
"server1","nielsen1","ele","7.0","ServiceList(serviceId=112, serviceCode=ele, serviceName=Nielsen)","Nielsen"
"server1","nielsenmobileconnectpannel1","eic","7.0","ServiceList(serviceId=719, serviceCode=eic, serviceName=Nielsen mobile connect pannel)","Nielsenmobileconnectpannel"
"server1","okcupid1","puc","7.0","ServiceList(serviceId=742, serviceCode=puc, serviceName=OK Cupid)","OKCupid"
"server1","oriocricket1","erc","7.0","ServiceList(serviceId=708, serviceCode=erc, serviceName=Oriocricket)","Oriocricket"
"server1","outlier1","ere","7.0","ServiceList(serviceId=681, serviceCode=are, serviceName=Outlier)","Outlier"
